sentence,true_label,predicted_label
That's why I believe so strongly that the best farm program is one that returns prosperity to all sectors of the economy.,1,4
(d) Review the practices and procedures of the Inspectors General and General Counsel of the Intelligence Community for discovering and reporting intelligence activities that may be unlawful or contrary to Executive order or Presidential directive; and.,20,16
Only the very rich can afford to save and invest under these circumstances.,1,15
We shall continue America's tradition as a land that welcomes peoples from other countries.,9,19
4  The present Executive Order is necessary for the United States to meet its obligations under the Claims Settlement Agreement to peacefully arbitrate certain claims.,12,19
Section 6 of S. 2852 would authorize either House of Congress to disapprove the Secretary of Education's schedule for family contributions for Pell Grants for the 1984-85 academic year.,6,20
"President of the United States of America, do hereby proclaim October 15, 1981, as White Cane Safety Day.",13,5
"See, eventually it'll percolate up to the man, but the work that's being done, that Ed Meese mentioned earlier with Dave Stockman, the UDAG function the existing grants that have been committed and those applications in the pipeline would be funded enough within the ceiling that the President has established so that the administration would meet the existing commitments and be able to process the commitments that are now in the pipeline.",14,8
I call upon my fellow citizens in both the public and private sectors to join in mutual efforts to pursue the long-term goals set forth during 1981.,20,15
"And in just 6 months, these gentlemen here and the others, their colleagues, in joint efforts authorized by our Executive order, have saved the taxpayers over $2 billion.",20,1
And the idea that local government and private sectors should work in harmony in tackling serious problems is about as old as our Republic.,20,19
"Everything else has a black market value, all of these other commodities.",12,2
Brazil's progress is predicated upon the diversification and enhancement of its terminational presence.,19,16
This action signals everyone who works for or does business with the Government that we mean business.,1,15
"Section 3  Until rules and regulations are issued pursuant to Sections 1 and 2 of this Order, those rules and regulations previously applicable to Federal employees contracting or trading with Indians are hereby adopted as the rules and regulations of the President pursuant to, and to the extent not inconsistent with, Section 43 (b) of Title 18 of the United States Code (25 CFR 251 5 and 252 3 ).",21,20
"The United States will support IAEA programs and other international cooperative efforts in the areas of nuclear safety and environmentally sound nuclear waste management.. To carry out these policies, I am instructing the Secretary of State, working with the other responsible agencies, to give priority attention to efforts to reduce proliferation risks, to enhance the international nonproliferation regime and, consistent with United States security interests, to reestablish a leadership role for the United States in international nuclear affairs.",7,16
"Later, Dutch families helped settle the frontier, and investors from the Netherlands played an indispensable role in producing the American economic miracle.",1,19
"Now, that's a bigger increase in help to lower income Americans than was ever given in a single year by the increase in many of the aid programs dreamed up by the other party during the last few decades.",13,1
"The new deferrals involve International Security Assistance programs, Department of Transportation research and special programs, and the President's Commission for the Study of Ethical Problems in Medicine.",3,10
"No person employed by or acting on behalf of the United States Government shall engage in, or conspire to engage in, assassination.",12,20
"Now, Therefore, L Ronald Reagan, President of the United States of America, do hereby proclaim the week of October 17 through October 23, 1982, as National Forest Products Week and call upon all Americans to express their gratitude for the abundant forests with which this Nation has been blessed, and which have benefited us materially, economically, and spiritually.",21,7
"Recently you've raised almost $65 million, mostly from the private sector, to be used for an energy center at the University of Oklahoma.",8,15
"The specific reservations, with reasons, are given in the report of the Department of State.",19,20
For too long the American people have been told that they are relieved of responsibility for helping their fellow man because government's taken over the job.,20,5
"The Prime Minister stated that Japan, on its own initiative and in accordance with its Constitution and basic defense policy, will seek to make even greater efforts for improving its defense capabilities in Japanese territories and in its surrounding sea and air space, and for further alleviating the financial burden of United States forces in Japan.",16,19
"And your Building Our American Communities program, which recognizes thousands of youth who take the lead in improving their communities, is just such an example.",13,6
This legislation will permit States and localities to apply to the Federal Government for designation as urban enterprise zones.,15,14
"While Mr Mugabe is still lobbying for the creation of a one-party state, he has stated that he will not move in this direction without a popular mandate.",19,20
"There's nothing that strikes to my heart more than the unemployed, although at this time I think the farmers, the small business people, people in real estate and the construction industry, who are losing their businesses family-owned businesses and they can't get unemployment insurance, they're just out and broke is also heartbreaking problem.",15,1
"(1) Collection, production and dissemination of military and military-related foreign intelligence and counterintelligence, and information on the foreign aspects of narcotics production and trafficking.",19,16
"Powerful equipment, chemicals and variable working conditions are potential agricultural hazards, but safe work practices, protective equipment and other measures can minimize the risks.",7,4
"The Prime Minister stated that Japan, on its own initiative and in accordance with its Constitution and basic defense policy, will seek to make even greater efforts for improving its defense capabilities in Japanese territories and in its surrounding sea and air space, and for further alleviating the financial burden of United States forces in Japan.",16,19
The productivity and efficiency of American agriculture are basic ingredients in our national strength.,16,4
"Sixty-five years after their revolution, they still need the West to feed their people; they need our credits and technology to run their industries; and they remain so frightened of freedom they need walls, minefields, barbed wire and guns to keep their people in.",19,17
"In other industries, German energy and German ingenuity helped build the factories and firms that catapulted our standard of living and elevated the lot of the common man from a life of drudgery to new progress consistent with individual dignity and respect.",19,8
"Mr President, when you met the other week with Tip O'Neill, you defended your budget cuts in part by citing abuses, such as the case of the New York neighborhood where children of parents making $75,000 a year were getting free school lunches.",1,6
"There is a report that you are considering offering controllers a Presidential pardon or an amnesty, giving them back their jobs if they admit that they were wrong.",5,20
Economic health is one of the keys to a secure future for our Caribbean Basin and to the neighbors there.,19,18
"I am transmitting for Senate advice and consent to ratification, a Convention between the Government of the United States of America and the Government of the British Virgin Islands for the Avoidance of Double Taxation and the Prevention of Fiscal Evasion with respect to Taxes on Income (the Convention).",19,18
"We will work to restore health to our ailing housing industry, and in so doing, help to restore health to our national economy.",14,1
But the border would become a two-way border for all people.,9,19
"We welcome any proposal to cut even more, as long as it doesn't jeopardize our security.",1,16
Loans for multifamily housing will drop from 13 1/4 percent to 11 1/2 percent.,15,14
We must generate new jobs and new opportunities for all our citizens.,1,5
"The overall percentages of the adjustments in the rates of pay under the other statutory pay systems, the Foreign Service Schedule and the schedules for the Department of Medicine and Surgery of the Veterans' Administration, will also be 4 0 percent increases.",16,20
"International collaboration among industrial firms in areas such as transportation, industrial utilization of space, communications, and energy production can serve important national interests as well as the interests of the firms involved.",19,17
Citizens at the grass roots are organizing to help State and local authorities expand their fight against the drunken driver.,10,12
"Furthermore, I congratulate the fire service for their fire prevention efforts and support their continued work.",12,3
The two leaders emphasized the importance of close bilateral and multilateral consultations at all levels between the members of the Western Alliance.,16,19
"And we think that the enterprise zones is a real jobs program in addition to furthering, to a large extent, minority businesses in the inner cities.",2,15
"In keeping with your commitment to the American people to reduce waste and inefficiency, I'm happy to announce today our initial results at the Agency for International Development.",19,20
"He's one of the country's most distinguished economists, a broad background in business and the academic world and government, and he has advised me economically for over 5 years.",1,15
"(b) The authority vested in the President by Section 629(a) of Title 10 of the United States Code, to remove the name of any officer from a promotion list to any grade below commodore or brigadier general.",16,20
I urge you to join with us and other people throughout the world to secure the protection of these magnificent creatures and wish you success in your important work.,7,19
We foresee a flowering of economic growth and individual liberty in a world at peace.,19,1
"But today, a new generation is emerging on both sides of the Atlantic.",19,16
"Deferrals under the Continuing Resolution are included in this special message for the Departments of Agriculture, Health and Human Services, and Transportation.",3,4
"Legislator, physician, missionary and orator, Walter Judd has served his nation and mankind with unfailing courage and distinction as a youthful medical missionary in China, as a highly respected Member of Congress for two decades, and as a lifelong foe of tyranny and friend of freedom both at home and abroad.",19,3
"And yet Parliament Hill is more than an imposing symbol of your nation; it is also a landmark of the New World, a monument to the right of self-government and the value of human freedom that even sometimes, as you yourself have pointed out, makes raucous behavior permissible.",20,19
We utilized the international waters there for the training exercise.,16,19
"So, what we have done is trim that expected increase and say it doesn't have to go up that high, to get Congress to agree to set some controls on the so-called uncontrollables.",20,1
"And I would hope that we'd see some real direction; that if that's going to be the focus of the thing, that we make sure when they take the block grant money that they don't cut out displaced homemakers or something because they don't have the political clout in the city hall to fight back.",20,13
Has there been any attempt to make long-term cooperation and coordination of the Treasury Department and the Fed in order to make your job easier?.,20,1
"In February, Egypt ratified the Treaty on the Non-Proliferation of Nuclear Weapons.",19,16
" I have signed into law S. 2271, which authorizes appropriations for the National Bureau of Standards, the National Technical Information Service, and the Office of Productivity, Technology and Innovation for fiscal year 1983.",20,15
"And exactly how far will your administration go in dealing with people, such as Qadhafi, who obviously hate the United States?.",19,20
"Free labor movements, assisted by our small AIFLD programs, can be the underpinning of a healthy private sector and its ability to expand and grow, leading the region to stable social and economic progress.",15,5
(a) Agencies with original classification authority shall prepare classification guides to facilitate the proper and uniform derivative classification of information.,2,16
"Then the Congress would act under expedited procedure, within 45 days of the submission of the certification, to approve the basing mode recommended by the President or any alternative they might select.",16,20
"The Administrator may provide for granting exceptions for individual nonpassenger automobiles or categories of nonpassenger automobiles as he determines to be appropriate in terms of energy conservation, economy, efficiency, or service.",10,8
"Thomas Jefferson, the author of liberty, the father of our freedom, once wrote, ""I deem it the duty of every man to devote a certain portion of his income for charitable purposes; and that it is his further duty to see it so applied as to do the most good of which it is capable.""",13,1
There are some in the industrial world who view your success with apprehension.,15,19
"It is agreed that the United Kingdom will pay a total contribution to research and development for the Trident II (D-5) system equivalent to $116 million in Fiscal Year 1982 dollars, subject to actual payments being adjusted to reflect an agreed inflation index.",16,1
"Beyond this, I have full confidence that you'll do your job vigorously and imaginatively while making sure that your activity is lawful, constitutional, and in keeping with the traditions of our way of life.",5,20
We can no longer choose between national security and national welfare the two have become one and the same.,16,13
"Finally, our discussion gave me an opportunity to commend President Ahidjo for his outstanding leadership concerning the refugee problem.",19,9
"Here and there in the country, groups of local bankers have come together and put up sums of money specified for automobile loans at a rate of interest about 4 points below the market.",15,10
"In Howells, Nebraska, the FFA constructed a basketball court and scoreboard and repaired picnic tables and benches in a local park.",4,12
"I'm talking about average citizens here in Alabama and across the country and nowadays they don't know who to blame when government services go wrong citizens who no longer control even the services closest to them, such as schools, libraries, police and fire protection, and even pothole repair.",20,6
"In that past year, we have had as a part of the strengthened bonds of friendship between our countries the enactment of legislation to allow for conventions to charge their business expenses against their United States tax liabilities.",1,18
"Air Force men gave their money and their own labor to 1,218 schools, medical facilities, and orphanages.",16,3
"And, Christi, I understand the Jaycees have set their goal for raising $21/2 million for muscular dystrophy in the campaign this year.",3,20
The mining sector remains solidly prosperous despite some uncertainty about a possibly increased government role.,8,15
"""(b) The United States Travel and Tourism Administration, and the International Trade Administration of the Department of Commerce, not to exceed 30 positions without the prior approval of the Director of the Office of Personnel Management, and providing that assignments to such positions be administered consistent with policies of the Foreign Commercial Service established under Executive Order No12188 "".",15,18
"Now, how can indexing hurt the workers and benefit the rich?",1,5
"You had made reference to UDAG being integrated with, perhaps, an expansion block grant.",14,20
"The deferrals affect International Security Assistance programs, and programs in the Departments of Agriculture, Commerce, Defense, Energy, Interior, Justice, Labor, State, and Transportation as well as the District of Columbia, the Pennsylvania Avenue Development Corporation, the Small Business Administration and the United States Railway Association.",1,4
"The purpose of the Science Advisory Board is to apply the universally accepted principles of scientific peer review to the research conclusions that will form the basis for EPA regulations, a function that must remain above interest group politics.",8,7
"And what we're counting on is when these, and these begin to take effect, that we will see the results when people begin to have the more money in their pockets from their earnings and when the lowered expenditures of government begin taking effect.",1,20
(b) Automatic declassification determinations under predecessor orders shall remain valid unless the classification is extended by an authorized official of the originating agency.,2,16
"The gasoline tax, for example, at the State level I know, in California is a good example of this.",8,1
The rescission proposal is for the Department of Commerce's National Oceanic and Atmospheric Administration.,15,20
"As a supplement to this report, the Department of State, in collaboration with interested departments and agencies, has prepared the attached study which contains a more detailed description and analysis of the Government's international nonmilitary scientific and technological activities.",19,17
"The movable assets are being made available to the United States Embassies in Egypt and Israel and to the Multinational Force and Observers on a non-reimbursable basis under authorities contained in the Federal Property and Administrative Services Act of 1949, as amended (40 USC 511 et seq).",16,19
"Norris Cotton, then Senator from New Hampshire, looking at the amount of money that was suggested and the Federal Government was protesting that it meant no interference; just wanted to help by giving money and he said, ""Well, if that's really true,"" he said, ""why don't we turn the tobacco tax over to the States and the only restriction is that it be used for education?""",1,6
"Here another democracy, Spain, voluntarily asking to become a member of NATO when have you ever heard of a nation voluntarily requesting to become a member of the Warsaw Pact?.",16,19
"If some unresolved issues remain, I will look to the Budget Review Board that I established last July (consisting of Ed Meese, Jim Baker and Dave Stockman) to meet with you to consider any remaining appeal.",20,1
This landmark decision was precipitated by a suit in which the plaintiff argued that application of the War Victims Act constituted an unconstitutional acquisition by the government of property (a claim for compensation that had occurred under the old Act) without adequate compensation.,16,12
Implicit in this authority is the right to decide when and where an ambassador or consul should be appointed.,20,19
"Previous to that, the State of California had returned the last surplus before that $500 million-we couldn't return it because the administration had to leave in the middle of the fiscal year?but the one previous to that we turned back $850 million in the form of a rebate.",1,20
"It must be the product of free institutions churches, labor unions, independent judiciary, and the press and its life-giving, rejuvenating process is a citizen placing his vote in a ballot box the subject of this Conference.",20,5
"Recognizing their vital importance to America's economic health, State and local port authorities and private industry have continued to invest financial resources to improve port facilities to meet ever-increasing needs.",10,15
"Until it does, we'll provide assistance with extended unemployment benefits.",5,1
"Now I believe that our economic program will provide more opportunity for all Americans, including black college graduates.",2,6
"If this provision is not enacted, 2 million unemployed people will use up their benefits by the end of March.",13,1
The priorities are not the same in community after community or State after State.,20,6
"In Europe, for example, their forces are greater than ours by a factor of at least 3 to 1  and some estimate it to be at least 6 to 1  A freeze would leave us and our allies on very thin ice, and as President, I will never permit that.",16,19
It's time to give up the temporary band-aids and placebos and get on with the business of a real cure.,3,15
The bottom line in 1980 was an unacceptable decline in the wealth of the working families and senior citizens of America the very people that our critics claim they care so much about.,1,13
"Section 2  The Director of the Office of Management and Budget shall examine each report, proposal, or plan for consistency with, and shall advise the agency of the relationship of the project to, the following:.",1,20
Almost every technical agency in the United States Government carries out programs with important international components.,17,19
"In accordance with section 502 a) of the Trade Act of 1974, as amended, I herewith notify the House (Senate) of my intention to issue an Executive order proclaiming that all member countries of the Andean Group (Bolivia, Colombia, Ecuador, Peru, and Venezuela) and of the Association of South East Asian Nations (ASEAN) (Indonesia, Malaysia, Philippines, Singapore, and Thailand) shall be treated, respectively, as one country under section 502 a) (3) for purposes of the Generalized System of Preferences.",18,19
"Now, we don't believe in totally eliminating government's role in humanitarian efforts, but we are trying to recapture that spirit of generosity that suffocates under heavy taxation and bureaucratic red tape.",20,1
Development of this facility may require continued enforcement of restrictive easements over lands that are now to be designated wilderness.,21,7
Think of it: The government owes a thousand billion dollars and must pay interest every day on that gargantuan amount.,1,20
"In effect, the Government was borrowing interest-free from small ness.",20,1
"The conflict in the Falkland Islands was thrust on us by naked aggression, and we are naturally proud of the way our fighting men are serving their country.",16,19
Enterprise Zones must be more than just a Federal initiative.,14,15
"And though we share bilateral interests with countries throughout the world, none exceeds the economic, cultural, and security interests that we share with you.",18,19
The United States has been engaged in nuclear cooperation with the European Community for many years.,8,19
The budget that we're releasing this morning still does not document all of the Federal paperwork that must be identified and reduced.,1,20
"Section 1  Sections 1  2 and 3 of Executive Order No1 047 are amended by deleting ""International Communication Agency"" and substituting therefor ""United States Information Agency"".",19,17
"(2) The level of economic development of the member countries of each of the associations, including their per capita gross national product, the general living standards of their populations, the levels of health, nutrition, education and housing of their populations, and the degree of industrialization of the countries;.",19,3
"For several years we have been engaged in cooperative efforts to help improve the enforcement and interdiction efforts within Colombia against cocaine, marijuana, and other drugs.",19,12
"a 5-percent tax credit, up to $450 per worker to qualified zone employees for wages earned in zone employment;.",1,5
"And I have to be fair and say that, in my first call, I was informed then by Prime Minister Begin that he had ordered a cessation of the aerial bombing, and so, we discussed the artillery shelling from then on.",19,16
